content,主题,故事,人物,影像,效果
《怪谈》看预告还挺惊喜以为有cute片影子可观影看来还是逃脱不了国恐片以声吓人得固定模式3个独立滴小故事，有点类似日本的怪谈传说一二个故事在结构算是玩出了惊喜可惜悬念埋得不深本应深挖得人性却一笔带过，第三个故事就是凑时长的电影整体一般但不算烂摄影和结构都还行电影6.5分,-2,1,-2,0,0
三段故事，三种完全不同的风格，更像是三个微电影连接起来。串联得特别不走心，若能再衔接处再用点心，电影将更圆润也更完整些。三个故事有些平分秋色，没有特别突出，但第一个的演员太差意思。,-2,0,-1,-2,-1
三个故事分别用了微信上的一个交友功能来命名，但是故事本身却和功能没有半毛钱关系，如果是广告植入的话也太疯狂了吧？谁会把广告植入到鬼片里啊？前两个故事都只能说是学生作品，只有第三个略微完整点，而且也能和“怪谈”挂的上边。全片最恐怖的就是最后一个罗兰的镜头，真的吓得我大早上一身凉！,-2,-1,-2,-2,1
三段式恐怖片，然而还是有国产恐怖的“装神弄鬼”之嫌，故事和最后的反转也比较弱，氛围上不够强。,-1,-1,-2,-2,-1
第一二個故事有點無聊，第三個香港愛情故事還不錯，港片的水準就是不一樣，…總體而言製作算精良，真誠之作…攝影也不錯，還有微信是投錢了吧…包場看電影感覺很好…,-2,0,-2,1,1
虽然没了鬼 但也能让我们感受到那种气场 氛围 可以说讲故事的氛围也可以比故事本身的内容更精彩 其实就是谈怪 无非也就是谈鬼怪 鬼怪文化在中国有悠久的历史 《聊斋》就是一部优秀的著作 并被多次搬上荧屏 银幕 但鬼怪通通变成了妖怪 只不过碍于国产电影的审查制度 鬼都不见了 所以我们也只能谈谈怪了,-2,0,-2,-2,1
虽然演技比较生涩，剧情有点混乱，但是恐怖氛围还是营造得不错。,-2,-1,-1,-2,1
第一个故事不算差。第二个故事个人非常喜欢，氛围做的到位。最后叶伟民拍得真是好。,-2,1,-2,-2,1
三个故事，第三个故事无趣但还行，前两个故事真是烂出天际了。这么努力地营造恐怖气氛，依旧一丁丁点的恐怖感都没有，就剩卖肉了。唉，看在李治廷的份上加一颗星好了。,-2,-1,1,-2,-1
过完重阳节来看登山_(:3√∠)_。看的还是全景声，非常不错！有几位藏族小鲜肉好帅呀，姑娘好看，孩子也可爱，西藏就是民风淳朴啊！神圣洁白的冰山，纯净湛蓝的天空，拨动心弦的配乐，用心又考验人的极限环境航拍。延时摄影和4K摄影的高画质画面简直美不胜收，赞不绝口！最后的花絮好长……,-2,-2,1,-2,1
很不错的一个题材，但执行难度颇大，最后的成片差强人意。片子最大的问题或许在于焦点涣散，导演似乎拎不清究竟想表达什么，最后拍了一堆没有太多内在联系的人物群像。登顶的困难其实主要还是靠说，影像本身没有承担起太多表达的功能。4K拍摄的喜马拉雅雪山确实非常漂亮，蛮可惜的。,1,-2,-2,-1,-1
琐碎、没有焦点，无论人物和登顶过程都比较平板，像在翻朋友圈（的确出现了一个朋友圈画面）。大量特写镜头与还蛮漂亮的空镜之间有种不协调感。对于恐惧/宗教等形而上的探讨停留在表面。,-1,-2,-2,-1,-1
这样好的题材，最终却被拍得这么支离破碎，真的是可惜了。对比南坡登顶，我好像更多地看到了藏人质朴的宗教信仰，与甚至是机械化的商业模式之间巨大的相悖。就如同登顶那个镜头，我几乎就要再次被感动了，却硬生生被满嘴官样文章的女生打断。,1,-2,-2,-2,-1
如果不是电影院看的肯定少给一星，大屏幕上看珠峰真的太美。平心而论导演只是把自己看到的展示出来，过于碎片化，也没有核心主题，并不能算合格的纪录片。但是还是要说，珠峰真是太美，8848的致命高度。ps：这片最后居然还有彩蛋，哈哈哈哈哈，牧马人的广告啊喂！,-1,-2,-2,1,-1
纪录片讲的就是一次珠峰的登山活动，但是都拍得很散，没有一个聚焦点，尤其是最后的登顶，完全可以把其中的艰难险阻拍得更惊心动魄，但是导演只是简单的讲了一个结果。是成功了，但是一点排除万难，身在最高的成就感都没有。可能唯一值得提的，也就是珠峰的美景吧。（2015.10.18 星期日 广州金逸影城）,-2,-2,-2,-2,-1
配乐挺出色，剪辑混乱，叙事碎片，说难听点根本就不是专业导演手笔，但应该鼓励这些揭露少民生存现状的片子，他们都活得太边缘了。,-2,-1,-2,-2,-1
“事情图个在理儿”从开头张译的城管戏就直奔佳境，到许晴的巨波，三环十二少，张一山宁浩轮番登场，消失的宣武区，奔跑的鸵鸟，颐和园冰面决战…惊喜连连，热泪盈眶！京腔京调的冯小刚浑身都是戏，管虎导演神发挥，2015华语最佳。“打架斗殴都是江湖”，血气刚阳又浪漫又理想！,-2,-2,1,-2,1
“你丫孙子，快跑啊”配乐太赞，六爷有劲，牛逼，配角里非常喜欢刘桦演的灯罩儿，是一种知道自己几斤几两的小人物的义气。,-2,-2,1,-2,1
京味很足的一部片子！冯小刚不愧是影帝！整部片子最喜欢父子，鸵鸟和冰湖这几段戏。李易峰出场时那个眼神很惊艳，各种情绪也控制的很好，是个有潜力的年轻演员。,-2,-2,1,-2,1
三星半7.1/点映，很早看过粗剪版，这回是威尼斯精剪版，依然无龙标。管虎的回归初心之作。疯跑的大鸵鸟像在规矩中挣扎的众生。冯小刚一人撑起了一部电影，李易峰和吴亦凡除了台词缺陷表演还算稳定。TFboys的客串真是神奇。剧作细节还是有些漏洞节奏依然拖沓。部分视点的剪辑调整下会更好。期待公映版。,-2,-1,1,-2,-1
廉颇老矣，英雄迟暮。整部电影弥漫着宿命的悲壮感。好的故事真的让你久久不愿出戏，对观众也是，对演员也是。,-2,1,-2,-2,1
全片充斥着一股浓浓的黑帮氛围和社会气息，甚至带点古惑仔的味道，只是人物换成了新老对决，故事讲的圆滑，很多情节都很有意思，李易峰吴亦凡等一直被诟病的演技出戏也没有发生，整个片看下来很有余味，结尾六夜拿着武士刀奔跑的镜头令人印象极其深刻。,-2,1,1,-2,1
个人觉得是管虎导演最好作品，有里有面儿，精气神全在！剧本、摄影、剪辑、音乐音效、表演，所有环节都很棒！唯一美中不足的就是那帮年轻演员，和那帮老炮儿一比，差的可不止是年纪。许晴可能用的是配音？那语气始终觉得差一口气，略可惜。2015年度华语十佳电影之一。,-2,1,-1,1,1
泪流了5次，不知笑了几次，正片结束我带头鼓了3次掌，然后谢谢跟我一起鼓掌的人，我相信你们也是真心觉得这片子拍得很棒的朋友；真的，4星的期待，5星的收获，真的没料到管虎能拍出这样把我看得很High超燃的作品，纵使有那么些瑕疵，但还是足以入围我的年度华语前三强；……看完跟我爸聊了51分钟电话！,-2,-2,-2,-2,1
整体表现都不错，很有老北京风味，李易峰和冯小刚的父子对手戏让我感触颇深。还有那吴亦凡细胳膊细腿的我觉得不太合适，整部电影表情没多大的改变，是电影中的一大败笔。许晴的话匣子更有北京女孩的地道风云十足。,-2,-2,1,-2,1
今天去看了点映，也见到了管虎、许晴和于和伟，坦白说，这部电影真的是直击我的内心，这种“京味儿”实在是太对我的胃口了，最后的冰面行走真的看哭了，绝对是今年我的华语片最佳！,-2,-2,1,-2,1
两星半吧，选材就不好，拍的也不好，汤唯演的也不太好，刘青云的配音也不好。好平庸的东西,-1,-2,-1,-2,-1
因为明星见面会的关系，提前看了。真的是一个无聊?无趣不能形容更多了。声音剪辑的那叫一个稀碎啊。汤唯的演技都长头发里去了吧我的亲娘啊！,-2,-1,-1,-2,-1
"别扭。服装还是情节还是特技还是配乐，就是别扭。
刘青云唱戏的口型好像下了功夫。",-2,-1,1,-2,-1
★★★电影的完成度很不错，年代感用镜头语言讲述的很清楚，演员也很对路，但是叙事也太平淡了点，没什么情感爆点。,-2,-1,1,-2,1
