content,主题,故事,人物,影像,效果
《怪谈》看预告还挺惊喜以为有cute片影子可观影看来还是逃脱不了国恐片以声吓人得固定模式3个独立滴小故事，有点类似日本的怪谈传说一二个故事在结构算是玩出了惊喜可惜悬念埋得不深本应深挖得人性却一笔带过，第三个故事就是凑时长的电影整体一般但不算烂摄影和结构都还行电影6.5分,-2,1,-2,0,0
第一二個故事有點無聊，第三個香港愛情故事還不錯，港片的水準就是不一樣，…總體而言製作算精良，真誠之作…攝影也不錯，還有微信是投錢了吧…包場看電影感覺很好…,-2,0,-2,1,1
摄像机真好，摄像师真厉害，扛着机器边爬山还要边找角度拍摄。8848看上去也不过就是个顶，“快拍照快拍照”……登顶在有些人看来是时尚是梦想，但在另一些人眼里只不过是维持生计的日常工作。藏人称之为圣山，内地人却只想着征服它。PS.真！的！好！讨！厌！屏！摄！的！人！,-2,-2,-2,1,-2
很不错的一个题材，但执行难度颇大，最后的成片差强人意。片子最大的问题或许在于焦点涣散，导演似乎拎不清究竟想表达什么，最后拍了一堆没有太多内在联系的人物群像。登顶的困难其实主要还是靠说，影像本身没有承担起太多表达的功能。4K拍摄的喜马拉雅雪山确实非常漂亮，蛮可惜的。,1,-2,-2,-1,-1
其实作为纪录片真的有点弱  不管是人物的深度或者是过程的描写都太淡了  本可以挖的深一点  但这样的题材和在当今浮躁社会 还有这样的严肃作品  还能让我也看到珠穆朗玛峰的景色  还是值得支持的 『 2015.10.17 龙德万达』,1,-1,-1,1,-2
在高峰上的拍摄能达到这个水平已经很出彩，藏族区域的文化与宗教让人感到神秘与敬畏。看不懂导演真正想表达的东西，最后那一句“我再也不想登顶了”让人觉得有点茫然。内容确实是有些散乱。,-2,-1,-2,1,-2
很敬畏的题材，画幅选择的也好。有世界最高的风景，有藏语民谣，有信仰与自我挑战的相悖。当然，也是太纪录片了，故事性不强我可以接受，但没有明显的主线就不太好了，也不太明白主创的态度…理想抑或命运？时尚抑或本真？民族抑或发展？…讲真，你花四年拍的片子，应该可以剪更好的挖更深的,1,-1,-2,1,-2
导演选取素材的能力十分堪忧，全片几乎没见到明确的主线，像一个拼盘大杂烩，跟看珠峰上的云雾一般云里雾里。一会莫名其妙混入大本营里的外国人，一会聊起上绒布寺的僧人和神山历史，最后的采访就像给登山学校拍宣传片。仅依靠绝美风光和配乐而没有根系，看得出拍摄艰辛，但缺乏好的整合能力就是辜负。,-1,-2,-2,1,-2
和平影都上座率很高，别和我说都是拿赠送码兑换的…影片拍的散，各种意义上的涣散…风景好拍摄苦，可电影并不适用于“没有功劳也有苦劳，没有苦劳也有疲劳”的公式，本该雄浑大气的题材拍的小家子气；发朋友圈好无语好讽刺，赞助商广告明目张胆到好笑；有空要把雅克贝汉的翻出来再看遍,-2,-1,-2,-1,-2
单从景色而言，此片也值得4星好评,-2,-2,-2,1,-2
作为风光片，不够漂亮，作为纪录片，不够深刻，所以，只能是平庸之作了。也许对某些人来说，登顶喜马拉雅是一件了却心愿的事情，但对我来说，是一件可有可无的事情。关于商业登山，我认为这其实是一个旅游项目——一个比较土豪的旅游项目。,0,-2,-2,0,-2
太散乱，不是说因为是纪录片不是剧情片就能这样乱来。分分钟乱入的登山场景和壮丽风景就这样拿来凑时长真是受不了。加一星算是对导演出发点的鼓励吧。,-2,-2,-2,-1,-2
琐碎、没有焦点，无论人物和登顶过程都比较平板，像在翻朋友圈（的确出现了一个朋友圈画面）。大量特写镜头与还蛮漂亮的空镜之间有种不协调感。对于恐惧/宗教等形而上的探讨停留在表面。,-1,-2,-2,-1,-1
作为纪录片，是很一般的，叙事散乱，没有拧紧中心骨架，没有深入，值得赞叹的是在如此高海拔、艰难的山上拍摄了本片。,-2,-1,-2,1,-2
这种纪录片，就算在100寸的高清电视上看1080p版也达不到电影院的效果。而且拍摄难度非常大，没理由不去电影院支持。况且院线排片非常少，随时可能下线。所以还是趁早去看吧。片子四星，拍摄难度加一星，五星推荐。,-2,-2,-2,1,-2
在山巅拍的那几个镜头真是看得我脚软。圣山美。可以近距离地看见登山细节，叙事有些松散。,-2,-1,-2,1,-2
虽然故事没有跌宕起伏的狗血情节，但是挑战世界巅峰本身已经具有很强故事性。画面极美，尤其是在海拔6500以上的航拍镜头、登顶后在顶峰上拍摄的全景，让人心醉。所以虽然有点小瑕疵，但是支持中国纪录片，支持年轻导演，毫不犹豫五星,1,1,-2,1,-2
外行看热闹的片子，顶峰之美还是很震撼的。但是纪录片缺乏人文的尊重，无论是对登山向导的还是对夏尔巴人的还是对宗教的。含金量比较少，也没有什么视角，连“天梯”这个主题都没有展现出来。反正和影片介绍不是一回事儿……而且片中弥漫着鼓励大家出钱去登顶的味道。,-1,-2,-2,1,-2
虽然没有太多对人物和周围环境的挖掘，但4k摄影叫人惊叹，当成一次珠峰旅游便足以值回票价。推荐与1924年纪录片《珠峰史诗》比较观看，90年前后人类攀登珠峰确实有着相似又不同的体验。,-2,-2,-2,1,-2
4K的真实画面满足我对珠峰的神秘想象，但故事剪得太松散，主副线毫无重点，如同“登山流程简介”,-2,-1,-2,1,-2
虽然没有对周围环境和人物作深度挖掘，但4k摄影机下的珠峰令人震撼，只靠风景就值回票价了,-2,-2,-2,1,-2
几个镜头都跑焦了，只有一些大全景能够打动我，整体根本就构不成一部纪录片，琐碎、没有波折，更不用提深度了，可惜了好题材，其他没什么。想到了赫尔佐格的《在世界尽头相遇》，还有徐震的《8848-1.86》.最后一段采访减一星，又见“影像殖民主义”。。。,1,-1,-2,0,-2
如果不是电影院看的肯定少给一星，大屏幕上看珠峰真的太美。平心而论导演只是把自己看到的展示出来，过于碎片化，也没有核心主题，并不能算合格的纪录片。但是还是要说，珠峰真是太美，8848的致命高度。ps：这片最后居然还有彩蛋，哈哈哈哈哈，牧马人的广告啊喂！,-1,-2,-2,1,-1
其实在影院看纪录片还是难免觉得无聊，但是这样的题材还是值得鼓励的，画面很精美，风土人情挺浓厚，朴实中带着感动,1,-2,1,1,-2
应该是第一部在商业院线看的纪录片。怎么把机器扛上8848的！！人在山体上走过的镜头非常美。原来登顶之后讲得最多的词是拍照拍照。剧组找到个长得像韩寒的做主角，但他的故事很单薄，看完也不知道他对于登山这件事的个人理解。朋友圈乱入有点业余，扣一星。最后的JEEP广告也太硬了吧，虽然纳木错很美。,-2,-1,-2,1,-2
有点混乱 配乐也有点杂 只要找到一个主题音乐从头用到尾感觉可能更好 但所有的缺陷在带给你的崇高感和思考面前都算毛线 向摄影致敬 最后的延时摄影的星空简直简,1,-2,-2,1,-2
朴实无华，背景音乐一直恰到好处。每次看到雪山的时候都感动泪目，登顶吧少年！,-2,-2,-2,1,-2
摄影牛逼,-2,-2,-2,1,-2
通篇不提老炮儿仨字儿 却是完整大写了冯小刚的老炮儿气血 从电影开篇就抓住了人 写实的镜头下人人气血分明 节奏稳定攀升再到结尾处爆发开来 结尾戏管虎的把控能力惊人的稳 把前篇蓄势的节奏一一铺展开来 每个人物的细节在结尾都有所呼应 从人物台词 眼神到教鹦鹉的一句话到鸵鸟 完成度极高 远超期许,-2,1,1,1,-2
个人觉得是管虎导演最好作品，有里有面儿，精气神全在！剧本、摄影、剪辑、音乐音效、表演，所有环节都很棒！唯一美中不足的就是那帮年轻演员，和那帮老炮儿一比，差的可不止是年纪。许晴可能用的是配音？那语气始终觉得差一口气，略可惜。2015年度华语十佳电影之一。,-2,1,-1,1,1
