content,主题,故事,人物,影像,效果
绝对不是那种卖弄假鬼怪的低级恐怖片，是一部集犯罪、血腥、变态、梦境等元素的纯正惊悚片，聚焦都市年轻人的内心欲望，虽然有很多瑕疵，但是是一次值得鼓励的尝试，不论是尺度还是故事完成度都甩了国内同类型影片好几条街。,1,1,-2,-2,-2
我告诉大家电影演了80分钟李治廷才出现，还有阿，我明白电影的主旨啦，就是不能玩微信对不对？,0,-2,-1,-2,-2
三段式恐怖片，然而还是有国产恐怖的“装神弄鬼”之嫌，故事和最后的反转也比较弱，氛围上不够强。,-1,-1,-2,-2,-1
三段式，围绕手机和微信摇摇什么的，其实和电影不搭嘎。女生drama没劲，雕塑那个还可以，猜到了，最后一个港式恐怖，还有罗兰女神客串，总体一般,-1,-2,-1,-2,-2
什么鬼，微信广告吗？对得起微信给的宣传费吗，三个主题怎么都靠不上去呀。前两个故事真是烂哭，第一个俗套校园复仇剧，第二个恐怖蜡像馆，第三个还行，但是小哥为什么会做梦？,-1,-1,-2,-2,-2
前2个故事太俗套一般了 第三个故事也有点俗套 但是还凑活 情节比较完整 文咏珊真是超级漂亮,-1,1,1,-2,-2
其实都有些称不上是纪录片，就是很简单地小小地记录西藏登山学校的日常一隅的缩影。这些作为向导的引路少年，被我们比成是天梯，引领别人的梦想攀上神山。而对于他们自己就是一份不错的工作，要争取被选进登顶队。第一次登顶后会累会疼会苦，叫着下次让我登顶都不登了…这就是他们真实普通生活的缩影。,0,-2,-2,-2,-2
登顶对游客来说是生命的高潮，但对向导来说只是一次例行的工作。导演自称是想展示奇观与日常、信仰与商业之间的冲撞，但很不幸，他基本上都没表现出来。结果只拍出了个焦点涣散的风光奇观片。主角吊儿郎当，拿什么都无所谓，导致最后他那句点题的“我再也不想登顶了”越听越觉得像在开玩笑。,-1,-2,-1,-2,-2
一部众筹片拍的不错不容易，即使广告植入挺简单直接，起码没旁白有艺术坚持。对登山学员的营地生活细节呈现的挺多，可以切实感受到高海拔高寒的各种困境，倒是更能与我们这种没登顶奢望的普通人有种感性上的易体会感。与欧美强调征服快感的主调有所不同。其实登山运动本身就是一种西方征服意识形态的现代残留，是殖民欲望的滥觞。原本东方的文化里对大自然更多的是敬畏尊重，而不是个人征服快感的宣泄需要。藏族青年小伙子们的呈现也挺有普通人的亲和力，没有去刻意抓那些“勇敢”“”苦闷”等较具煽情性的情绪场面。对藏传佛教意识的呈现可以感受到宗教在藏族生活中的基本作用，用法器给予保平安的踏实感具有挺实在的精神意义。影片表现了登山客身份的商业比例，像这种刚到大本营就不行的也有，很多素质还不够具备，当然全片体力最好的无疑是摄影师了。,0,1,1,-2,-2
说是纪录片吧、却没啥内核。应该是部昂贵的广告片！,-1,-2,-2,-2,-2
很不错的一个题材，但执行难度颇大，最后的成片差强人意。片子最大的问题或许在于焦点涣散，导演似乎拎不清究竟想表达什么，最后拍了一堆没有太多内在联系的人物群像。登顶的困难其实主要还是靠说，影像本身没有承担起太多表达的功能。4K拍摄的喜马拉雅雪山确实非常漂亮，蛮可惜的。,1,-2,-2,-1,-1
其实作为纪录片真的有点弱  不管是人物的深度或者是过程的描写都太淡了  本可以挖的深一点  但这样的题材和在当今浮躁社会 还有这样的严肃作品  还能让我也看到珠穆朗玛峰的景色  还是值得支持的 『 2015.10.17 龙德万达』,1,-1,-1,1,-2
很敬畏的题材，画幅选择的也好。有世界最高的风景，有藏语民谣，有信仰与自我挑战的相悖。当然，也是太纪录片了，故事性不强我可以接受，但没有明显的主线就不太好了，也不太明白主创的态度…理想抑或命运？时尚抑或本真？民族抑或发展？…讲真，你花四年拍的片子，应该可以剪更好的挖更深的,1,-1,-2,1,-2
导演选取素材的能力十分堪忧，全片几乎没见到明确的主线，像一个拼盘大杂烩，跟看珠峰上的云雾一般云里雾里。一会莫名其妙混入大本营里的外国人，一会聊起上绒布寺的僧人和神山历史，最后的采访就像给登山学校拍宣传片。仅依靠绝美风光和配乐而没有根系，看得出拍摄艰辛，但缺乏好的整合能力就是辜负。,-1,-2,-2,1,-2
作为风光片，不够漂亮，作为纪录片，不够深刻，所以，只能是平庸之作了。也许对某些人来说，登顶喜马拉雅是一件了却心愿的事情，但对我来说，是一件可有可无的事情。关于商业登山，我认为这其实是一个旅游项目——一个比较土豪的旅游项目。,0,-2,-2,0,-2
琐碎、没有焦点，无论人物和登顶过程都比较平板，像在翻朋友圈（的确出现了一个朋友圈画面）。大量特写镜头与还蛮漂亮的空镜之间有种不协调感。对于恐惧/宗教等形而上的探讨停留在表面。,-1,-2,-2,-1,-1
当然不完美但我没有任何亲情分的认为五星。把一个接近人类学纪录片的作品放进院线，老雷的知识分子水平太高了。我爬了几个台阶又像大二第一次接触纪录片时那么崇拜老雷了。,1,-2,-2,-2,-2
虽然故事没有跌宕起伏的狗血情节，但是挑战世界巅峰本身已经具有很强故事性。画面极美，尤其是在海拔6500以上的航拍镜头、登顶后在顶峰上拍摄的全景，让人心醉。所以虽然有点小瑕疵，但是支持中国纪录片，支持年轻导演，毫不犹豫五星,1,1,-2,1,-2
